National №,Name,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,img_url,Generation
171,Lanturn,Water Electric,Light Pokémon,1.2,"3,11",22.5,49.6,1. Volt Absorb2. IlluminateWater Absorb (hidden ability),175 (Gold/Silver/Crystal)182 (Ruby/Sapphire/Emerald)177 (HeartGold/SoulSilver)148 (X/Y — Coastal Kalos)191 (Omega Ruby/Alpha Sapphire)202 (Sun/Moon — Alola dex)258 (U.Sun/U.Moon — Alola dex)221 (Sword/Shield)189 (The Isle of Armor),2 HP,75.0,"9.8% with PokéBall, full HP",50.0,normal,161.0,Slow,Water 2,50,50.0,20.0,"4,884–5,140 steps",125.0,360.0,454.0,58.0,108.0,236.0,58.0,108.0,236.0,76.0,141.0,276.0,76.0,141.0,276.0,67.0,125.0,256.0,https://img.pokemondb.net/artwork/lanturn.jpg,2.0
172,Pichu,Electric,Tiny Mouse Pokémon,0.3,"1,00",2.0,4.4,1. StaticLightning Rod (hidden ability),021 (Gold/Silver/Crystal)155 (Ruby/Sapphire/Emerald)103 (Diamond/Pearl)103 (Platinum)021 (HeartGold/SoulSilver)035 (X/Y — Central Kalos)162 (Omega Ruby/Alpha Sapphire)024 (Sun/Moon — Alola dex)031 (U.Sun/U.Moon — Alola dex)193 (Sword/Shield)103 (Brilliant Diamond/Shining Pearl)055 (Legends: Arceus)084 (The Isle of Armor),1 Speed,190.0,"24.8% with PokéBall, full HP",50.0,normal,41.0,Medium Fast,Undiscovered,50,50.0,10.0,"2,314–2,570 steps",20.0,150.0,244.0,40.0,76.0,196.0,15.0,31.0,141.0,35.0,67.0,185.0,35.0,67.0,185.0,60.0,112.0,240.0,https://img.pokemondb.net/artwork/pichu.jpg,2.0
173,Cleffa,Fairy,Star Shape Pokémon,0.3,"1,00",3.0,6.6,1. Cute Charm2. Magic GuardFriend Guard (hidden ability),040 (Gold/Silver/Crystal)099 (Diamond/Pearl)099 (Platinum)040 (HeartGold/SoulSilver)088 (Black 2/White 2)210 (Sun/Moon — Alola dex)272 (U.Sun/U.Moon — Alola dex)254 (Sword/Shield)099 (Brilliant Diamond/Shining Pearl)199 (Legends: Arceus)043 (The Crown Tundra),1 Special Defense,150.0,"19.6% with PokéBall, full HP",140.0,higher than normal,44.0,Fast,Undiscovered,25,75.0,10.0,"2,314–2,570 steps",50.0,210.0,304.0,25.0,49.0,163.0,28.0,54.0,170.0,45.0,85.0,207.0,55.0,103.0,229.0,15.0,31.0,141.0,https://img.pokemondb.net/artwork/cleffa.jpg,2.0
174,Igglybuff,Normal Fairy,Balloon Pokémon,0.3,"1,00",1.0,2.2,1. Cute Charm2. CompetitiveFriend Guard (hidden ability),043 (Gold/Silver/Crystal)137 (Ruby/Sapphire/Emerald)043 (HeartGold/SoulSilver)281 (Black 2/White 2)119 (X/Y — Mountain Kalos)142 (Omega Ruby/Alpha Sapphire)134 (Sun/Moon — Alola dex)167 (U.Sun/U.Moon — Alola dex)011 (The Isle of Armor),1 HP,170.0,"22.2% with PokéBall, full HP",50.0,normal,42.0,Fast,Undiscovered,25,75.0,10.0,"2,314–2,570 steps",90.0,290.0,384.0,30.0,58.0,174.0,15.0,31.0,141.0,40.0,76.0,196.0,20.0,40.0,152.0,15.0,31.0,141.0,https://img.pokemondb.net/artwork/igglybuff.jpg,2.0
175,Togepi,Fairy,Spike Ball Pokémon,0.3,"1,00",1.5,3.3,1. Hustle2. Serene GraceSuper Luck (hidden ability),046 (Gold/Silver/Crystal)173 (Platinum)046 (HeartGold/SoulSilver)257 (Sword/Shield)127 (Legends: Arceus),1 Special Defense,190.0,"24.8% with PokéBall, full HP",50.0,normal,49.0,Fast,Undiscovered,87.5,12.5,10.0,"2,314–2,570 steps",35.0,180.0,274.0,20.0,40.0,152.0,65.0,121.0,251.0,40.0,76.0,196.0,65.0,121.0,251.0,20.0,40.0,152.0,https://img.pokemondb.net/artwork/togepi.jpg,2.0
176,Togetic,Fairy Flying,Happiness Pokémon,0.6,"2,00",3.2,7.1,1. Hustle2. Serene GraceSuper Luck (hidden ability),047 (Gold/Silver/Crystal)174 (Platinum)047 (HeartGold/SoulSilver)258 (Sword/Shield)128 (Legends: Arceus),2 Special Defense,75.0,"9.8% with PokéBall, full HP",50.0,normal,142.0,Fast,"Fairy, Flying",87.5,12.5,10.0,"2,314–2,570 steps",55.0,220.0,314.0,40.0,76.0,196.0,85.0,157.0,295.0,80.0,148.0,284.0,105.0,193.0,339.0,40.0,76.0,196.0,https://img.pokemondb.net/artwork/togetic.jpg,2.0
177,Natu,Psychic Flying,Tiny Bird Pokémon,0.2,"0,08",2.0,4.4,1. Synchronize2. Early BirdMagic Bounce (hidden ability),159 (Gold/Silver/Crystal)162 (Ruby/Sapphire/Emerald)161 (HeartGold/SoulSilver)169 (Omega Ruby/Alpha Sapphire)252 (U.Sun/U.Moon — Alola dex)092 (Sword/Shield),1 Special Attack,190.0,"24.8% with PokéBall, full HP",50.0,normal,64.0,Medium Fast,Flying,50,50.0,20.0,"4,884–5,140 steps",40.0,190.0,284.0,50.0,94.0,218.0,45.0,85.0,207.0,70.0,130.0,262.0,45.0,85.0,207.0,70.0,130.0,262.0,https://img.pokemondb.net/artwork/natu.jpg,2.0
178,Xatu,Psychic Flying,Mystic Pokémon,1.5,"4,11",15.0,33.1,1. Synchronize2. Early BirdMagic Bounce (hidden ability),160 (Gold/Silver/Crystal)163 (Ruby/Sapphire/Emerald)162 (HeartGold/SoulSilver)170 (Omega Ruby/Alpha Sapphire)253 (U.Sun/U.Moon — Alola dex)093 (Sword/Shield),"1 Special Attack, 1 Speed",75.0,"9.8% with PokéBall, full HP",50.0,normal,165.0,Medium Fast,Flying,50,50.0,20.0,"4,884–5,140 steps",65.0,240.0,334.0,75.0,139.0,273.0,70.0,130.0,262.0,95.0,175.0,317.0,70.0,130.0,262.0,95.0,175.0,317.0,https://img.pokemondb.net/artwork/xatu.jpg,2.0
179,Mareep,Electric,Wool Pokémon,0.6,"2,00",7.8,17.2,1. StaticPlus (hidden ability),053 (Gold/Silver/Crystal)053 (HeartGold/SoulSilver)025 (Black 2/White 2)127 (X/Y — Coastal Kalos)162 (U.Sun/U.Moon — Alola dex),1 Special Attack,235.0,"30.7% with PokéBall, full HP",50.0,normal,56.0,Medium Slow,"Field, Monster",50,50.0,20.0,"4,884–5,140 steps",55.0,220.0,314.0,40.0,76.0,196.0,40.0,76.0,196.0,65.0,121.0,251.0,45.0,85.0,207.0,35.0,67.0,185.0,https://img.pokemondb.net/artwork/mareep.jpg,2.0
180,Flaaffy,Electric,Wool Pokémon,0.8,"2,07",13.3,29.3,1. StaticPlus (hidden ability),054 (Gold/Silver/Crystal)054 (HeartGold/SoulSilver)026 (Black 2/White 2)128 (X/Y — Coastal Kalos)163 (U.Sun/U.Moon — Alola dex),2 Special Attack,120.0,"15.7% with PokéBall, full HP",50.0,normal,128.0,Medium Slow,"Field, Monster",50,50.0,20.0,"4,884–5,140 steps",70.0,250.0,344.0,55.0,103.0,229.0,55.0,103.0,229.0,80.0,148.0,284.0,60.0,112.0,240.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/flaaffy.jpg,2.0
181,Ampharos,Electric,Light Pokémon,1.4,"4,07",61.5,135.6,1. StaticPlus (hidden ability),055 (Gold/Silver/Crystal)055 (HeartGold/SoulSilver)027 (Black 2/White 2)129 (X/Y — Coastal Kalos)164 (U.Sun/U.Moon — Alola dex),3 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,230.0,Medium Slow,"Field, Monster",50,50.0,20.0,"4,884–5,140 steps",90.0,290.0,384.0,75.0,139.0,273.0,85.0,157.0,295.0,115.0,211.0,361.0,90.0,166.0,306.0,55.0,103.0,229.0,https://img.pokemondb.net/artwork/ampharos.jpg,2.0
182,Bellossom,Grass,Flower Pokémon,0.4,"1,04",5.8,12.8,1. ChlorophyllHealer (hidden ability),086 (Gold/Silver/Crystal)091 (Ruby/Sapphire/Emerald)086 (HeartGold/SoulSilver)108 (X/Y — Central Kalos)094 (Omega Ruby/Alpha Sapphire)058 (Sword/Shield),3 Special Defense,45.0,"5.9% with PokéBall, full HP",50.0,normal,221.0,Medium Slow,Grass,50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,80.0,148.0,284.0,95.0,175.0,317.0,90.0,166.0,306.0,100.0,184.0,328.0,50.0,94.0,218.0,https://img.pokemondb.net/artwork/bellossom.jpg,2.0
183,Marill,Water Fairy,Aqua Mouse Pokémon,0.4,"1,04",8.5,18.7,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),130 (Gold/Silver/Crystal)055 (Ruby/Sapphire/Emerald)125 (Diamond/Pearl)125 (Platinum)132 (HeartGold/SoulSilver)031 (Black 2/White 2)042 (X/Y — Central Kalos)056 (Omega Ruby/Alpha Sapphire)125 (Brilliant Diamond/Shining Pearl)140 (The Isle of Armor),2 HP,190.0,"24.8% with PokéBall, full HP",50.0,normal,88.0,Fast,"Fairy, Water 1",50,50.0,10.0,"2,314–2,570 steps",70.0,250.0,344.0,20.0,40.0,152.0,50.0,94.0,218.0,20.0,40.0,152.0,50.0,94.0,218.0,40.0,76.0,196.0,https://img.pokemondb.net/artwork/marill.jpg,2.0
184,Azumarill,Water Fairy,Aqua Rabbit Pokémon,0.8,"2,07",28.5,62.8,1. Thick Fat2. Huge PowerSap Sipper (hidden ability),131 (Gold/Silver/Crystal)056 (Ruby/Sapphire/Emerald)126 (Diamond/Pearl)126 (Platinum)133 (HeartGold/SoulSilver)032 (Black 2/White 2)043 (X/Y — Central Kalos)057 (Omega Ruby/Alpha Sapphire)126 (Brilliant Diamond/Shining Pearl)141 (The Isle of Armor),3 HP,75.0,"9.8% with PokéBall, full HP",50.0,normal,189.0,Fast,"Fairy, Water 1",50,50.0,10.0,"2,314–2,570 steps",100.0,310.0,404.0,50.0,94.0,218.0,80.0,148.0,284.0,60.0,112.0,240.0,80.0,148.0,284.0,50.0,94.0,218.0,https://img.pokemondb.net/artwork/azumarill.jpg,2.0
185,Sudowoodo,Rock,Imitation Pokémon,1.2,"3,11",38.0,83.8,1. Sturdy2. Rock HeadRattled (hidden ability),106 (Gold/Silver/Crystal)093 (Diamond/Pearl)093 (Platinum)107 (HeartGold/SoulSilver)130 (X/Y — Mountain Kalos)031 (Sun/Moon — Alola dex)038 (U.Sun/U.Moon — Alola dex)253 (Sword/Shield)093 (Brilliant Diamond/Shining Pearl)124 (Legends: Arceus),2 Defense,65.0,"8.5% with PokéBall, full HP",50.0,normal,144.0,Medium Fast,Mineral,50,50.0,20.0,"4,884–5,140 steps",70.0,250.0,344.0,100.0,184.0,328.0,115.0,211.0,361.0,30.0,58.0,174.0,65.0,121.0,251.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/sudowoodo.jpg,2.0
186,Politoed,Water,Frog Pokémon,1.1,"3,07",33.9,74.7,1. Water Absorb2. DampDrizzle (hidden ability),075 (Gold/Silver/Crystal)075 (HeartGold/SoulSilver)036 (X/Y — Mountain Kalos)152 (Sun/Moon — Alola dex)185 (U.Sun/U.Moon — Alola dex)145 (The Isle of Armor),3 Special Defense,45.0,"5.9% with PokéBall, full HP",50.0,normal,225.0,Medium Slow,Water 1,50,50.0,20.0,"4,884–5,140 steps",90.0,290.0,384.0,75.0,139.0,273.0,75.0,139.0,273.0,90.0,166.0,306.0,100.0,184.0,328.0,70.0,130.0,262.0,https://img.pokemondb.net/artwork/politoed.jpg,2.0
187,Hoppip,Grass Flying,Cottonweed Pokémon,0.4,"1,04",0.5,1.1,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),067 (Gold/Silver/Crystal)067 (HeartGold/SoulSilver)135 (X/Y — Central Kalos),1 Special Defense,255.0,"33.3% with PokéBall, full HP",50.0,normal,50.0,Medium Slow,"Fairy, Grass",50,50.0,20.0,"4,884–5,140 steps",35.0,180.0,274.0,35.0,67.0,185.0,40.0,76.0,196.0,35.0,67.0,185.0,55.0,103.0,229.0,50.0,94.0,218.0,https://img.pokemondb.net/artwork/hoppip.jpg,2.0
188,Skiploom,Grass Flying,Cottonweed Pokémon,0.6,"2,00",1.0,2.2,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),068 (Gold/Silver/Crystal)068 (HeartGold/SoulSilver)136 (X/Y — Central Kalos),2 Speed,120.0,"15.7% with PokéBall, full HP",50.0,normal,119.0,Medium Slow,"Fairy, Grass",50,50.0,20.0,"4,884–5,140 steps",55.0,220.0,314.0,45.0,85.0,207.0,50.0,94.0,218.0,45.0,85.0,207.0,65.0,121.0,251.0,80.0,148.0,284.0,https://img.pokemondb.net/artwork/skiploom.jpg,2.0
189,Jumpluff,Grass Flying,Cottonweed Pokémon,0.8,"2,07",3.0,6.6,1. Chlorophyll2. Leaf GuardInfiltrator (hidden ability),069 (Gold/Silver/Crystal)069 (HeartGold/SoulSilver)137 (X/Y — Central Kalos),3 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,207.0,Medium Slow,"Fairy, Grass",50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,55.0,103.0,229.0,70.0,130.0,262.0,55.0,103.0,229.0,95.0,175.0,317.0,110.0,202.0,350.0,https://img.pokemondb.net/artwork/jumpluff.jpg,2.0
190,Aipom,Normal,Long Tail Pokémon,0.8,"2,07",11.5,25.4,1. Run Away2. PickupSkill Link (hidden ability),122 (Gold/Silver/Crystal)063 (Diamond/Pearl)063 (Platinum)123 (HeartGold/SoulSilver)368 (U.Sun/U.Moon — Alola dex)063 (Brilliant Diamond/Shining Pearl)078 (Legends: Arceus),1 Speed,45.0,"5.9% with PokéBall, full HP",50.0,normal,72.0,Fast,Field,50,50.0,20.0,"4,884–5,140 steps",55.0,220.0,314.0,70.0,130.0,262.0,55.0,103.0,229.0,40.0,76.0,196.0,55.0,103.0,229.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/aipom.jpg,2.0
191,Sunkern,Grass,Seed Pokémon,0.3,"1,00",1.8,4.0,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),102 (Gold/Silver/Crystal)103 (HeartGold/SoulSilver)020 (Black 2/White 2),1 Special Attack,235.0,"30.7% with PokéBall, full HP",50.0,normal,36.0,Medium Slow,Grass,50,50.0,20.0,"4,884–5,140 steps",30.0,170.0,264.0,30.0,58.0,174.0,30.0,58.0,174.0,30.0,58.0,174.0,30.0,58.0,174.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/sunkern.jpg,2.0
192,Sunflora,Grass,Sun Pokémon,0.8,"2,07",8.5,18.7,1. Chlorophyll2. Solar PowerEarly Bird (hidden ability),103 (Gold/Silver/Crystal)104 (HeartGold/SoulSilver)021 (Black 2/White 2),2 Special Attack,120.0,"15.7% with PokéBall, full HP",50.0,normal,149.0,Medium Slow,Grass,50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,75.0,139.0,273.0,55.0,103.0,229.0,105.0,193.0,339.0,85.0,157.0,295.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/sunflora.jpg,2.0
193,Yanma,Bug Flying,Clear Wing Pokémon,1.2,"3,11",38.0,83.8,1. Speed Boost2. Compound EyesFrisk (hidden ability),101 (Gold/Silver/Crystal)183 (Platinum)101 (HeartGold/SoulSilver)286 (Black 2/White 2)087 (X/Y — Coastal Kalos)105 (Legends: Arceus),1 Speed,75.0,"9.8% with PokéBall, full HP",50.0,normal,78.0,Medium Fast,Bug,50,50.0,20.0,"4,884–5,140 steps",65.0,240.0,334.0,65.0,121.0,251.0,45.0,85.0,207.0,75.0,139.0,273.0,45.0,85.0,207.0,95.0,175.0,317.0,https://img.pokemondb.net/artwork/yanma.jpg,2.0
194,Wooper,Water Ground,Water Fish Pokémon,0.4,"1,04",8.5,18.7,1. Damp2. Water AbsorbUnaware (hidden ability),056 (Gold/Silver/Crystal)117 (Diamond/Pearl)117 (Platinum)056 (HeartGold/SoulSilver)017 (X/Y — Mountain Kalos)100 (Sword/Shield)117 (Brilliant Diamond/Shining Pearl)058 (The Isle of Armor),1 HP,255.0,"33.3% with PokéBall, full HP",50.0,normal,42.0,Medium Fast,"Field, Water 1",50,50.0,20.0,"4,884–5,140 steps",55.0,220.0,314.0,45.0,85.0,207.0,45.0,85.0,207.0,25.0,49.0,163.0,25.0,49.0,163.0,15.0,31.0,141.0,https://img.pokemondb.net/artwork/wooper.jpg,2.0
195,Quagsire,Water Ground,Water Fish Pokémon,1.4,"4,07",75.0,165.3,1. Damp2. Water AbsorbUnaware (hidden ability),057 (Gold/Silver/Crystal)118 (Diamond/Pearl)118 (Platinum)057 (HeartGold/SoulSilver)018 (X/Y — Mountain Kalos)101 (Sword/Shield)118 (Brilliant Diamond/Shining Pearl)059 (The Isle of Armor),2 HP,90.0,"11.8% with PokéBall, full HP",50.0,normal,151.0,Medium Fast,"Field, Water 1",50,50.0,20.0,"4,884–5,140 steps",95.0,300.0,394.0,85.0,157.0,295.0,85.0,157.0,295.0,65.0,121.0,251.0,65.0,121.0,251.0,35.0,67.0,185.0,https://img.pokemondb.net/artwork/quagsire.jpg,2.0
196,Espeon,Psychic,Sun Pokémon,0.9,"2,11",26.5,58.4,1. SynchronizeMagic Bounce (hidden ability),184 (Gold/Silver/Crystal)167 (Platinum)188 (HeartGold/SoulSilver)095 (Black 2/White 2)081 (X/Y — Coastal Kalos)127 (Sun/Moon — Alola dex)157 (U.Sun/U.Moon — Alola dex)200 (Sword/Shield)029 (Legends: Arceus)079 (The Crown Tundra),2 Special Attack,45.0,"5.9% with PokéBall, full HP",50.0,normal,184.0,Medium Fast,Field,87.5,12.5,35.0,"8,739–8,995 steps",65.0,240.0,334.0,65.0,121.0,251.0,60.0,112.0,240.0,130.0,238.0,394.0,95.0,175.0,317.0,110.0,202.0,350.0,https://img.pokemondb.net/artwork/espeon.jpg,2.0
197,Umbreon,Dark,Moonlight Pokémon,1.0,"3,03",27.0,59.5,1. SynchronizeInner Focus (hidden ability),185 (Gold/Silver/Crystal)168 (Platinum)189 (HeartGold/SoulSilver)096 (Black 2/White 2)082 (X/Y — Coastal Kalos)128 (Sun/Moon — Alola dex)158 (U.Sun/U.Moon — Alola dex)201 (Sword/Shield)030 (Legends: Arceus)078 (The Crown Tundra),2 Special Defense,45.0,"5.9% with PokéBall, full HP",35.0,lower than normal,184.0,Medium Fast,Field,87.5,12.5,35.0,"8,739–8,995 steps",95.0,300.0,394.0,65.0,121.0,251.0,110.0,202.0,350.0,60.0,112.0,240.0,130.0,238.0,394.0,65.0,121.0,251.0,https://img.pokemondb.net/artwork/umbreon.jpg,2.0
198,Murkrow,Dark Flying,Darkness Pokémon,0.5,"1,08",2.1,4.6,1. Insomnia2. Super LuckPrankster (hidden ability),208 (Gold/Silver/Crystal)074 (Diamond/Pearl)074 (Platinum)213 (HeartGold/SoulSilver)051 (X/Y — Mountain Kalos)277 (Sun/Moon — Alola dex)078 (U.Sun/U.Moon — Alola dex)074 (Brilliant Diamond/Shining Pearl)140 (Legends: Arceus),1 Speed,30.0,"3.9% with PokéBall, full HP",35.0,lower than normal,81.0,Medium Slow,Flying,50,50.0,20.0,"4,884–5,140 steps",60.0,230.0,324.0,85.0,157.0,295.0,42.0,80.0,201.0,85.0,157.0,295.0,42.0,80.0,201.0,91.0,168.0,309.0,https://img.pokemondb.net/artwork/murkrow.jpg,2.0
199,Slowking,Water Psychic,Royal Pokémon,2.0,"6,07",79.5,175.3,1. Oblivious2. Own TempoRegenerator (hidden ability),082 (Gold/Silver/Crystal)082 (HeartGold/SoulSilver)135 (X/Y — Coastal Kalos)039 (Sun/Moon — Alola dex)046 (U.Sun/U.Moon — Alola dex)003 (The Isle of Armor),2 Special Defense,70.0,"9.1% with PokéBall, full HP",50.0,normal,172.0,Medium Fast,"Monster, Water 1",50,50.0,20.0,"4,884–5,140 steps",95.0,300.0,394.0,75.0,139.0,273.0,80.0,148.0,284.0,100.0,184.0,328.0,110.0,202.0,350.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/slowking.jpg,2.0
200,Misdreavus,Ghost,Screech Pokémon,0.7,"2,04",1.0,2.2,1. Levitate,214 (Gold/Silver/Crystal)072 (Diamond/Pearl)072 (Platinum)219 (HeartGold/SoulSilver)066 (Sun/Moon — Alola dex)372 (U.Sun/U.Moon — Alola dex)072 (Brilliant Diamond/Shining Pearl)197 (Legends: Arceus),1 Special Defense,45.0,"5.9% with PokéBall, full HP",35.0,lower than normal,87.0,Fast,Amorphous,50,50.0,25.0,"6,169–6,425 steps",60.0,230.0,324.0,60.0,112.0,240.0,60.0,112.0,240.0,85.0,157.0,295.0,85.0,157.0,295.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/misdreavus.jpg,2.0
201,Unown,Psychic,Symbol Pokémon,0.5,"1,08",5.0,11.0,1. Levitate,061 (Gold/Silver/Crystal)114 (Diamond/Pearl)114 (Platinum)061 (HeartGold/SoulSilver)114 (Brilliant Diamond/Shining Pearl)142 (Legends: Arceus),"1 Attack, 1 Special Attack",225.0,"29.4% with PokéBall, full HP",50.0,normal,118.0,Medium Fast,Undiscovered,Genderless,,40.0,"10,024–10,280 steps",48.0,206.0,300.0,72.0,134.0,267.0,48.0,90.0,214.0,72.0,134.0,267.0,48.0,90.0,214.0,48.0,90.0,214.0,https://img.pokemondb.net/artwork/unown.jpg,2.0
202,Wobbuffet,Psychic,Patient Pokémon,1.3,"4,03",28.5,62.8,1. Shadow TagTelepathy (hidden ability),107 (Gold/Silver/Crystal)161 (Ruby/Sapphire/Emerald)108 (HeartGold/SoulSilver)119 (X/Y — Coastal Kalos)168 (Omega Ruby/Alpha Sapphire)217 (Sword/Shield),2 HP,45.0,"5.9% with PokéBall, full HP",50.0,normal,142.0,Medium Fast,Amorphous,50,50.0,20.0,"4,884–5,140 steps",190.0,490.0,584.0,33.0,63.0,181.0,58.0,108.0,236.0,33.0,63.0,181.0,58.0,108.0,236.0,33.0,63.0,181.0,https://img.pokemondb.net/artwork/wobbuffet.jpg,2.0
203,Girafarig,Normal Psychic,Long Neck Pokémon,1.5,"4,11",41.5,91.5,1. Inner Focus2. Early BirdSap Sipper (hidden ability),147 (Gold/Silver/Crystal)164 (Ruby/Sapphire/Emerald)121 (Diamond/Pearl)121 (Platinum)149 (HeartGold/SoulSilver)171 (Omega Ruby/Alpha Sapphire)121 (Brilliant Diamond/Shining Pearl),2 Special Attack,60.0,"7.8% with PokéBall, full HP",50.0,normal,159.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",70.0,250.0,344.0,80.0,148.0,284.0,65.0,121.0,251.0,90.0,166.0,306.0,65.0,121.0,251.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/girafarig.jpg,2.0
204,Pineco,Bug,Bagworm Pokémon,0.6,"2,00",7.2,15.9,1. SturdyOvercoat (hidden ability),093 (Gold/Silver/Crystal)093 (HeartGold/SoulSilver)268 (U.Sun/U.Moon — Alola dex),1 Defense,190.0,"24.8% with PokéBall, full HP",50.0,normal,58.0,Medium Fast,Bug,50,50.0,20.0,"4,884–5,140 steps",50.0,210.0,304.0,65.0,121.0,251.0,90.0,166.0,306.0,35.0,67.0,185.0,35.0,67.0,185.0,15.0,31.0,141.0,https://img.pokemondb.net/artwork/pineco.jpg,2.0
205,Forretress,Bug Steel,Bagworm Pokémon,1.2,"3,11",125.8,277.3,1. SturdyOvercoat (hidden ability),094 (Gold/Silver/Crystal)094 (HeartGold/SoulSilver)269 (U.Sun/U.Moon — Alola dex),2 Defense,75.0,"9.8% with PokéBall, full HP",50.0,normal,163.0,Medium Fast,Bug,50,50.0,20.0,"4,884–5,140 steps",75.0,260.0,354.0,90.0,166.0,306.0,140.0,256.0,416.0,60.0,112.0,240.0,60.0,112.0,240.0,40.0,76.0,196.0,https://img.pokemondb.net/artwork/forretress.jpg,2.0
206,Dunsparce,Normal,Land Snake Pokémon,1.5,"4,11",14.0,30.9,1. Serene Grace2. Run AwayRattled (hidden ability),052 (Gold/Silver/Crystal)052 (HeartGold/SoulSilver)035 (Black 2/White 2)040 (X/Y — Central Kalos)063 (U.Sun/U.Moon — Alola dex)052 (The Isle of Armor),1 HP,190.0,"24.8% with PokéBall, full HP",50.0,normal,145.0,Medium Fast,Field,50,50.0,20.0,"4,884–5,140 steps",100.0,310.0,404.0,70.0,130.0,262.0,70.0,130.0,262.0,65.0,121.0,251.0,65.0,121.0,251.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/dunsparce.jpg,2.0
207,Gligar,Ground Flying,FlyScorpion Pokémon,1.1,"3,07",64.8,142.9,1. Hyper Cutter2. Sand VeilImmunity (hidden ability),189 (Gold/Silver/Crystal)153 (Platinum)193 (HeartGold/SoulSilver)221 (Black 2/White 2)115 (X/Y — Mountain Kalos)185 (Legends: Arceus),1 Defense,60.0,"7.8% with PokéBall, full HP",50.0,normal,86.0,Medium Slow,Bug,50,50.0,20.0,"4,884–5,140 steps",65.0,240.0,334.0,75.0,139.0,273.0,105.0,193.0,339.0,35.0,67.0,185.0,65.0,121.0,251.0,85.0,157.0,295.0,https://img.pokemondb.net/artwork/gligar.jpg,2.0
208,Steelix,Steel Ground,Iron Snake Pokémon,9.2,"30,02",400.0,881.8,1. Rock Head2. SturdySheer Force (hidden ability),063 (Gold/Silver/Crystal)035 (Diamond/Pearl)035 (Platinum)063 (HeartGold/SoulSilver)072 (Black 2/White 2)054 (X/Y — Coastal Kalos)179 (Sword/Shield)035 (Brilliant Diamond/Shining Pearl)119 (Legends: Arceus),2 Defense,25.0,"3.3% with PokéBall, full HP",50.0,normal,179.0,Medium Fast,Mineral,50,50.0,25.0,"6,169–6,425 steps",75.0,260.0,354.0,85.0,157.0,295.0,200.0,364.0,548.0,55.0,103.0,229.0,65.0,121.0,251.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/steelix.jpg,2.0
209,Snubbull,Fairy,Fairy Pokémon,0.6,"2,00",7.8,17.2,1. Intimidate2. Run AwayRattled (hidden ability),123 (Gold/Silver/Crystal)125 (HeartGold/SoulSilver)071 (X/Y — Coastal Kalos)258 (Sun/Moon — Alola dex)339 (U.Sun/U.Moon — Alola dex),1 Attack,190.0,"24.8% with PokéBall, full HP",50.0,normal,60.0,Fast,"Fairy, Field",25,75.0,20.0,"4,884–5,140 steps",60.0,230.0,324.0,80.0,148.0,284.0,50.0,94.0,218.0,40.0,76.0,196.0,40.0,76.0,196.0,30.0,58.0,174.0,https://img.pokemondb.net/artwork/snubbull.jpg,2.0
210,Granbull,Fairy,Fairy Pokémon,1.4,"4,07",48.7,107.4,1. Intimidate2. Quick FeetRattled (hidden ability),124 (Gold/Silver/Crystal)126 (HeartGold/SoulSilver)072 (X/Y — Coastal Kalos)259 (Sun/Moon — Alola dex)340 (U.Sun/U.Moon — Alola dex),2 Attack,75.0,"9.8% with PokéBall, full HP",50.0,normal,158.0,Fast,"Fairy, Field",25,75.0,20.0,"4,884–5,140 steps",90.0,290.0,384.0,120.0,220.0,372.0,75.0,139.0,273.0,60.0,112.0,240.0,60.0,112.0,240.0,45.0,85.0,207.0,https://img.pokemondb.net/artwork/granbull.jpg,2.0
