,National №,Type,Species,Height in m,Height in pouce,Weight in kg,Weight in lbs,Abilities,Local №,EV yield,Catch rate,Catch rate details,Base Friendship,Base Friendship text,Base Exp.,Growth Rate,Egg Groups,Gender % male,Gender % female,Egg cycles,Egg cycles details,HP,HP Min,HP Max,Attack,Attack Min,Attack Max,Defense,Defense Min,Defense Max,Sp. Atk,Sp. Atk Min,Sp. Atk Max,Sp. Def,Sp. Def Min,Sp. Def Max,Speed,Speed Min,Speed Max,Name,img_url,Generation
195,196,Psychic,Sun,0.9,2.11,26.5,58.4,1. SynchronizeMagic Bounce (hidden ability),184 (Gold/Silver/Crystal)167 (Platinum)188 (HeartGold/SoulSilver)095 (Black 2/White 2)081 (X/Y — Coastal Kalos)127 (Sun/Moon — Alola dex)157 (U.Sun/U.Moon — Alola dex)200 (Sword/Shield)029 (Legends: Arceus)079 (The Crown Tundra),2 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,184,Medium Fast,Field,87.5,12.5,35,"8,739–8,995 steps",65,240,334,65,121,251,60,112,240,130,238,394,95,175,317,110,202,350,Espeon,https://img.pokemondb.net/artwork/espeon.jpg,
196,197,Dark,Moonlight,1.0,3.03,27.0,59.5,1. SynchronizeInner Focus (hidden ability),185 (Gold/Silver/Crystal)168 (Platinum)189 (HeartGold/SoulSilver)096 (Black 2/White 2)082 (X/Y — Coastal Kalos)128 (Sun/Moon — Alola dex)158 (U.Sun/U.Moon — Alola dex)201 (Sword/Shield)030 (Legends: Arceus)078 (The Crown Tundra),2 Special Defense,45,"5.9% with PokéBall, full HP",35,lower than normal,184,Medium Fast,Field,87.5,12.5,35,"8,739–8,995 steps",95,300,394,65,121,251,110,202,350,60,112,240,130,238,394,65,121,251,Umbreon,https://img.pokemondb.net/artwork/umbreon.jpg,
197,198,Dark Flying,Darkness,0.5,1.08,2.1,4.6,1. Insomnia2. Super LuckPrankster (hidden ability),208 (Gold/Silver/Crystal)074 (Diamond/Pearl)074 (Platinum)213 (HeartGold/SoulSilver)051 (X/Y — Mountain Kalos)277 (Sun/Moon — Alola dex)078 (U.Sun/U.Moon — Alola dex)074 (Brilliant Diamond/Shining Pearl)140 (Legends: Arceus),1 Speed,30,"3.9% with PokéBall, full HP",35,lower than normal,81,Medium Slow,Flying,50,50,20,"4,884–5,140 steps",60,230,324,85,157,295,42,80,201,85,157,295,42,80,201,91,168,309,Murkrow,https://img.pokemondb.net/artwork/murkrow.jpg,
198,199,Water Psychic,Royal,2.0,6.07,79.5,175.3,1. Oblivious2. Own TempoRegenerator (hidden ability),082 (Gold/Silver/Crystal)082 (HeartGold/SoulSilver)135 (X/Y — Coastal Kalos)039 (Sun/Moon — Alola dex)046 (U.Sun/U.Moon — Alola dex)003 (The Isle of Armor),2 Special Defense,70,"9.1% with PokéBall, full HP",50,normal,172,Medium Fast,"Monster, Water 1",50,50,20,"4,884–5,140 steps",95,300,394,75,139,273,80,148,284,100,184,328,110,202,350,30,58,174,Slowking,https://img.pokemondb.net/artwork/slowking.jpg,
199,200,Ghost,Screech,0.7,2.04,1.0,2.2,1. Levitate,214 (Gold/Silver/Crystal)072 (Diamond/Pearl)072 (Platinum)219 (HeartGold/SoulSilver)066 (Sun/Moon — Alola dex)372 (U.Sun/U.Moon — Alola dex)072 (Brilliant Diamond/Shining Pearl)197 (Legends: Arceus),1 Special Defense,45,"5.9% with PokéBall, full HP",35,lower than normal,87,Fast,Amorphous,50,50,25,"6,169–6,425 steps",60,230,324,60,112,240,60,112,240,85,157,295,85,157,295,85,157,295,Misdreavus,https://img.pokemondb.net/artwork/misdreavus.jpg,
200,201,Psychic,Symbol,0.5,1.08,5.0,11.0,1. Levitate,061 (Gold/Silver/Crystal)114 (Diamond/Pearl)114 (Platinum)061 (HeartGold/SoulSilver)114 (Brilliant Diamond/Shining Pearl)142 (Legends: Arceus),"1 Attack, 1 Special Attack",225,"29.4% with PokéBall, full HP",50,normal,118,Medium Fast,Undiscovered,Genderless,,40,"10,024–10,280 steps",48,206,300,72,134,267,48,90,214,72,134,267,48,90,214,48,90,214,Unown,https://img.pokemondb.net/artwork/unown.jpg,
201,202,Psychic,Patient,1.3,4.03,28.5,62.8,1. Shadow TagTelepathy (hidden ability),107 (Gold/Silver/Crystal)161 (Ruby/Sapphire/Emerald)108 (HeartGold/SoulSilver)119 (X/Y — Coastal Kalos)168 (Omega Ruby/Alpha Sapphire)217 (Sword/Shield),2 HP,45,"5.9% with PokéBall, full HP",50,normal,142,Medium Fast,Amorphous,50,50,20,"4,884–5,140 steps",190,490,584,33,63,181,58,108,236,33,63,181,58,108,236,33,63,181,Wobbuffet,https://img.pokemondb.net/artwork/wobbuffet.jpg,
202,203,Normal Psychic,Long Neck,1.5,4.11,41.5,91.5,1. Inner Focus2. Early BirdSap Sipper (hidden ability),147 (Gold/Silver/Crystal)164 (Ruby/Sapphire/Emerald)121 (Diamond/Pearl)121 (Platinum)149 (HeartGold/SoulSilver)171 (Omega Ruby/Alpha Sapphire)121 (Brilliant Diamond/Shining Pearl),2 Special Attack,60,"7.8% with PokéBall, full HP",50,normal,159,Medium Fast,Field,50,50,20,"4,884–5,140 steps",70,250,344,80,148,284,65,121,251,90,166,306,65,121,251,85,157,295,Girafarig,https://img.pokemondb.net/artwork/girafarig.jpg,
203,204,Bug,Bagworm,0.6,2.00,7.2,15.9,1. SturdyOvercoat (hidden ability),093 (Gold/Silver/Crystal)093 (HeartGold/SoulSilver)268 (U.Sun/U.Moon — Alola dex),1 Defense,190,"24.8% with PokéBall, full HP",50,normal,58,Medium Fast,Bug,50,50,20,"4,884–5,140 steps",50,210,304,65,121,251,90,166,306,35,67,185,35,67,185,15,31,141,Pineco,https://img.pokemondb.net/artwork/pineco.jpg,
204,205,Bug Steel,Bagworm,1.2,3.11,125.8,277.3,1. SturdyOvercoat (hidden ability),094 (Gold/Silver/Crystal)094 (HeartGold/SoulSilver)269 (U.Sun/U.Moon — Alola dex),2 Defense,75,"9.8% with PokéBall, full HP",50,normal,163,Medium Fast,Bug,50,50,20,"4,884–5,140 steps",75,260,354,90,166,306,140,256,416,60,112,240,60,112,240,40,76,196,Forretress,https://img.pokemondb.net/artwork/forretress.jpg,
205,206,Normal,Land Snake,1.5,4.11,14.0,30.9,1. Serene Grace2. Run AwayRattled (hidden ability),052 (Gold/Silver/Crystal)052 (HeartGold/SoulSilver)035 (Black 2/White 2)040 (X/Y — Central Kalos)063 (U.Sun/U.Moon — Alola dex)052 (The Isle of Armor),1 HP,190,"24.8% with PokéBall, full HP",50,normal,145,Medium Fast,Field,50,50,20,"4,884–5,140 steps",100,310,404,70,130,262,70,130,262,65,121,251,65,121,251,45,85,207,Dunsparce,https://img.pokemondb.net/artwork/dunsparce.jpg,
206,207,Ground Flying,FlyScorpion,1.1,3.07,64.8,142.9,1. Hyper Cutter2. Sand VeilImmunity (hidden ability),189 (Gold/Silver/Crystal)153 (Platinum)193 (HeartGold/SoulSilver)221 (Black 2/White 2)115 (X/Y — Mountain Kalos)185 (Legends: Arceus),1 Defense,60,"7.8% with PokéBall, full HP",50,normal,86,Medium Slow,Bug,50,50,20,"4,884–5,140 steps",65,240,334,75,139,273,105,193,339,35,67,185,65,121,251,85,157,295,Gligar,https://img.pokemondb.net/artwork/gligar.jpg,
207,208,Steel Ground,Iron Snake,9.2,30.02,400.0,881.8,1. Rock Head2. SturdySheer Force (hidden ability),063 (Gold/Silver/Crystal)035 (Diamond/Pearl)035 (Platinum)063 (HeartGold/SoulSilver)072 (Black 2/White 2)054 (X/Y — Coastal Kalos)179 (Sword/Shield)035 (Brilliant Diamond/Shining Pearl)119 (Legends: Arceus),2 Defense,25,"3.3% with PokéBall, full HP",50,normal,179,Medium Fast,Mineral,50,50,25,"6,169–6,425 steps",75,260,354,85,157,295,200,364,548,55,103,229,65,121,251,30,58,174,Steelix,https://img.pokemondb.net/artwork/steelix.jpg,
208,209,Fairy,Fairy,0.6,2.00,7.8,17.2,1. Intimidate2. Run AwayRattled (hidden ability),123 (Gold/Silver/Crystal)125 (HeartGold/SoulSilver)071 (X/Y — Coastal Kalos)258 (Sun/Moon — Alola dex)339 (U.Sun/U.Moon — Alola dex),1 Attack,190,"24.8% with PokéBall, full HP",50,normal,60,Fast,"Fairy, Field",25,75,20,"4,884–5,140 steps",60,230,324,80,148,284,50,94,218,40,76,196,40,76,196,30,58,174,Snubbull,https://img.pokemondb.net/artwork/snubbull.jpg,
209,210,Fairy,Fairy,1.4,4.07,48.7,107.4,1. Intimidate2. Quick FeetRattled (hidden ability),124 (Gold/Silver/Crystal)126 (HeartGold/SoulSilver)072 (X/Y — Coastal Kalos)259 (Sun/Moon — Alola dex)340 (U.Sun/U.Moon — Alola dex),2 Attack,75,"9.8% with PokéBall, full HP",50,normal,158,Fast,"Fairy, Field",25,75,20,"4,884–5,140 steps",90,290,384,120,220,372,75,139,273,60,112,240,60,112,240,45,85,207,Granbull,https://img.pokemondb.net/artwork/granbull.jpg,
210,211,Water Poison,Balloon,0.5,1.08,3.9,8.6,1. Poison Point2. Swift SwimIntimidate (hidden ability),161 (Gold/Silver/Crystal)163 (HeartGold/SoulSilver)038 (X/Y — Coastal Kalos)304 (Sword/Shield)084 (Legends: Arceus),1 Attack,45,"5.9% with PokéBall, full HP",50,normal,88,Medium Fast,Water 2,50,50,20,"4,884–5,140 steps",65,240,334,95,175,317,85,157,295,55,103,229,55,103,229,85,157,295,Qwilfish,https://img.pokemondb.net/artwork/qwilfish.jpg,
211,212,Bug Steel,Pincer,1.8,5.11,118.0,260.1,1. Swarm2. TechnicianLight Metal (hidden ability),111 (Gold/Silver/Crystal)196 (Platinum)112 (HeartGold/SoulSilver)137 (X/Y — Mountain Kalos)276 (Sun/Moon — Alola dex)366 (U.Sun/U.Moon — Alola dex)073 (Legends: Arceus)119 (The Isle of Armor),2 Attack,25,"3.3% with PokéBall, full HP",50,normal,175,Medium Fast,Bug,50,50,25,"6,169–6,425 steps",70,250,344,130,238,394,100,184,328,55,103,229,80,148,284,65,121,251,Scizor,https://img.pokemondb.net/artwork/scizor.jpg,
212,213,Bug Rock,Mold,0.6,2.00,20.5,45.2,1. Sturdy2. GluttonyContrary (hidden ability),166 (Gold/Silver/Crystal)168 (HeartGold/SoulSilver)232 (Black 2/White 2)014 (X/Y — Mountain Kalos)227 (Sword/Shield)170 (The Crown Tundra),"1 Defense, 1 Special Defense",190,"24.8% with PokéBall, full HP",50,normal,177,Medium Slow,Bug,50,50,20,"4,884–5,140 steps",20,150,244,10,22,130,230,418,614,10,22,130,230,418,614,5,13,119,Shuckle,https://img.pokemondb.net/artwork/shuckle.jpg,
213,214,Bug Fighting,Single Horn,1.5,4.11,54.0,119.0,1. Swarm2. GutsMoxie (hidden ability),113 (Gold/Silver/Crystal)168 (Ruby/Sapphire/Emerald)062 (Diamond/Pearl)062 (Platinum)114 (HeartGold/SoulSilver)145 (Black 2/White 2)131 (X/Y — Coastal Kalos)175 (Omega Ruby/Alpha Sapphire)367 (U.Sun/U.Moon — Alola dex)062 (Brilliant Diamond/Shining Pearl)075 (Legends: Arceus)121 (The Isle of Armor),2 Attack,45,"5.9% with PokéBall, full HP",50,normal,175,Slow,Bug,50,50,25,"6,169–6,425 steps",80,270,364,125,229,383,75,139,273,40,76,196,95,175,317,85,157,295,Heracross,https://img.pokemondb.net/artwork/heracross.jpg,
214,215,Dark Ice,Sharp Claw,0.9,2.11,28.0,61.7,1. Inner Focus2. Keen EyePickpocket (hidden ability),213 (Gold/Silver/Crystal)144 (Diamond/Pearl)144 (Platinum)218 (HeartGold/SoulSilver)252 (Black 2/White 2)091 (X/Y — Mountain Kalos)249 (Sun/Moon — Alola dex)326 (U.Sun/U.Moon — Alola dex)292 (Sword/Shield)144 (Brilliant Diamond/Shining Pearl)202 (Legends: Arceus)028 (The Crown Tundra),1 Speed,60,"7.8% with PokéBall, full HP",35,lower than normal,86,Medium Slow,Field,50,50,20,"4,884–5,140 steps",55,220,314,95,175,317,55,103,229,35,67,185,75,139,273,115,211,361,Sneasel,https://img.pokemondb.net/artwork/sneasel.jpg,
215,216,Normal,Little Bear,0.6,2.00,8.8,19.4,1. Pickup2. Quick FeetHoney Gather (hidden ability),193 (Gold/Silver/Crystal)198 (HeartGold/SoulSilver)132 (X/Y — Mountain Kalos)112 (Legends: Arceus),1 Attack,120,"15.7% with PokéBall, full HP",50,normal,66,Medium Fast,Field,50,50,20,"4,884–5,140 steps",60,230,324,80,148,284,50,94,218,50,94,218,50,94,218,40,76,196,Teddiursa,https://img.pokemondb.net/artwork/teddiursa.jpg,
216,217,Normal,Hibernator,1.8,5.11,125.8,277.3,1. Guts2. Quick FeetUnnerve (hidden ability),194 (Gold/Silver/Crystal)199 (HeartGold/SoulSilver)133 (X/Y — Mountain Kalos)113 (Legends: Arceus),2 Attack,60,"7.8% with PokéBall, full HP",50,normal,175,Medium Fast,Field,50,50,20,"4,884–5,140 steps",90,290,384,130,238,394,75,139,273,75,139,273,75,139,273,55,103,229,Ursaring,https://img.pokemondb.net/artwork/ursaring.jpg,
217,218,Fire,Lava,0.7,2.04,35.0,77.2,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),211 (Gold/Silver/Crystal)103 (Ruby/Sapphire/Emerald)216 (HeartGold/SoulSilver)012 (X/Y — Mountain Kalos)108 (Omega Ruby/Alpha Sapphire),1 Special Attack,190,"24.8% with PokéBall, full HP",50,normal,50,Medium Fast,Amorphous,50,50,20,"4,884–5,140 steps",40,190,284,40,76,196,40,76,196,70,130,262,40,76,196,20,40,152,Slugma,https://img.pokemondb.net/artwork/slugma.jpg,
218,219,Fire Rock,Lava,0.8,2.07,55.0,121.3,1. Magma Armor2. Flame BodyWeak Armor (hidden ability),212 (Gold/Silver/Crystal)104 (Ruby/Sapphire/Emerald)217 (HeartGold/SoulSilver)013 (X/Y — Mountain Kalos)109 (Omega Ruby/Alpha Sapphire),2 Defense,75,"9.8% with PokéBall, full HP",50,normal,151,Medium Fast,Amorphous,50,50,20,"4,884–5,140 steps",60,230,324,50,94,218,120,220,372,90,166,306,80,148,284,30,58,174,Magcargo,https://img.pokemondb.net/artwork/magcargo.jpg,
219,220,Ice Ground,Pig,0.4,1.04,6.5,14.3,1. Oblivious2. Snow CloakThick Fat (hidden ability),191 (Gold/Silver/Crystal)203 (Platinum)195 (HeartGold/SoulSilver)258 (Black 2/White 2)076 (X/Y — Mountain Kalos)075 (Sword/Shield)212 (Legends: Arceus)007 (The Crown Tundra),1 Attack,225,"29.4% with PokéBall, full HP",50,normal,50,Slow,Field,50,50,20,"4,884–5,140 steps",50,210,304,50,94,218,40,76,196,30,58,174,30,58,174,50,94,218,Swinub,https://img.pokemondb.net/artwork/swinub.jpg,
220,221,Ice Ground,Swine,1.1,3.07,55.8,123.0,1. Oblivious2. Snow CloakThick Fat (hidden ability),192 (Gold/Silver/Crystal)204 (Platinum)196 (HeartGold/SoulSilver)259 (Black 2/White 2)077 (X/Y — Mountain Kalos)076 (Sword/Shield)213 (Legends: Arceus)008 (The Crown Tundra),"1 HP, 1 Attack",75,"9.8% with PokéBall, full HP",50,normal,158,Slow,Field,50,50,20,"4,884–5,140 steps",100,310,404,100,184,328,80,148,284,60,112,240,60,112,240,50,94,218,Piloswine,https://img.pokemondb.net/artwork/piloswine.jpg,
221,222,Water Rock,Coral,0.6,2.00,5.0,11.0,1. Hustle2. Natural CureRegenerator (hidden ability),171 (Gold/Silver/Crystal)180 (Ruby/Sapphire/Emerald)173 (HeartGold/SoulSilver)237 (Black 2/White 2)146 (X/Y — Coastal Kalos)189 (Omega Ruby/Alpha Sapphire)112 (Sun/Moon — Alola dex)135 (U.Sun/U.Moon — Alola dex)236 (Sword/Shield),"1 Defense, 1 Special Defense",60,"7.8% with PokéBall, full HP",50,normal,144,Fast,"Water 1, Water 3",25,75,20,"4,884–5,140 steps",65,240,334,55,103,229,95,175,317,65,121,251,95,175,317,35,67,185,Corsola,https://img.pokemondb.net/artwork/corsola.jpg,
222,223,Water,Jet,0.6,2.00,12.0,26.5,1. Hustle2. SniperMoody (hidden ability),172 (Gold/Silver/Crystal)132 (Diamond/Pearl)132 (Platinum)174 (HeartGold/SoulSilver)235 (Black 2/White 2)144 (X/Y — Coastal Kalos)143 (U.Sun/U.Moon — Alola dex)148 (Sword/Shield)132 (Brilliant Diamond/Shining Pearl)146 (Legends: Arceus)044 (The Isle of Armor),1 Special Attack,190,"24.8% with PokéBall, full HP",50,normal,60,Medium Fast,"Water 1, Water 2",50,50,20,"4,884–5,140 steps",35,180,274,65,121,251,35,67,185,65,121,251,35,67,185,65,121,251,Remoraid,https://img.pokemondb.net/artwork/remoraid.jpg,
223,224,Water,Jet,0.9,2.11,28.5,62.8,1. Suction Cups2. SniperMoody (hidden ability),173 (Gold/Silver/Crystal)133 (Diamond/Pearl)133 (Platinum)175 (HeartGold/SoulSilver)236 (Black 2/White 2)145 (X/Y — Coastal Kalos)144 (U.Sun/U.Moon — Alola dex)149 (Sword/Shield)133 (Brilliant Diamond/Shining Pearl)147 (Legends: Arceus)045 (The Isle of Armor),"1 Attack, 1 Special Attack",75,"9.8% with PokéBall, full HP",50,normal,168,Medium Fast,"Water 1, Water 2",50,50,20,"4,884–5,140 steps",75,260,354,105,193,339,75,139,273,105,193,339,75,139,273,45,85,207,Octillery,https://img.pokemondb.net/artwork/octillery.jpg,
224,225,Ice Flying,Delivery,0.9,2.11,16.0,35.3,1. Vital Spirit2. HustleInsomnia (hidden ability),190 (Gold/Silver/Crystal)194 (HeartGold/SoulSilver)254 (Black 2/White 2)090 (X/Y — Mountain Kalos)081 (Sun/Moon — Alola dex)095 (U.Sun/U.Moon — Alola dex)078 (Sword/Shield)120 (The Crown Tundra),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,116,Fast,"Field, Water 1",50,50,20,"4,884–5,140 steps",45,200,294,55,103,229,45,85,207,65,121,251,45,85,207,75,139,273,Delibird,https://img.pokemondb.net/artwork/delibird.jpg,
225,226,Water Flying,Kite,2.1,6.11,220.0,485.0,1. Swift Swim2. Water AbsorbWater Veil (hidden ability),197 (Gold/Silver/Crystal)141 (Diamond/Pearl)141 (Platinum)202 (HeartGold/SoulSilver)234 (Black 2/White 2)140 (X/Y — Coastal Kalos)146 (U.Sun/U.Moon — Alola dex)355 (Sword/Shield)141 (Brilliant Diamond/Shining Pearl)165 (Legends: Arceus)047 (The Isle of Armor),2 Special Defense,25,"3.3% with PokéBall, full HP",50,normal,170,Slow,Water 1,50,50,25,"6,169–6,425 steps",85,280,374,40,76,196,70,130,262,80,148,284,140,256,416,70,130,262,Mantine,https://img.pokemondb.net/artwork/mantine.jpg,
226,227,Steel Flying,Armor Bird,1.7,5.07,50.5,111.3,1. Keen Eye2. SturdyWeak Armor (hidden ability),198 (Gold/Silver/Crystal)115 (Ruby/Sapphire/Emerald)203 (HeartGold/SoulSilver)203 (Black 2/White 2)112 (X/Y — Mountain Kalos)120 (Omega Ruby/Alpha Sapphire)208 (Sun/Moon — Alola dex)270 (U.Sun/U.Moon — Alola dex)153 (The Isle of Armor),2 Defense,25,"3.3% with PokéBall, full HP",50,normal,163,Slow,Flying,50,50,25,"6,169–6,425 steps",65,240,334,80,148,284,140,256,416,40,76,196,70,130,262,70,130,262,Skarmory,https://img.pokemondb.net/artwork/skarmory.jpg,
227,228,Dark Fire,Dark,0.6,2.00,10.8,23.8,1. Early Bird2. Flash FireUnnerve (hidden ability),209 (Gold/Silver/Crystal)176 (Platinum)214 (HeartGold/SoulSilver)075 (X/Y — Coastal Kalos)289 (U.Sun/U.Moon — Alola dex),1 Special Attack,120,"15.7% with PokéBall, full HP",35,lower than normal,66,Slow,Field,50,50,20,"4,884–5,140 steps",45,200,294,60,112,240,30,58,174,80,148,284,50,94,218,65,121,251,Houndour,https://img.pokemondb.net/artwork/houndour.jpg,
228,229,Dark Fire,Dark,1.4,4.07,35.0,77.2,1. Early Bird2. Flash FireUnnerve (hidden ability),210 (Gold/Silver/Crystal)177 (Platinum)215 (HeartGold/SoulSilver)076 (X/Y — Coastal Kalos)290 (U.Sun/U.Moon — Alola dex),2 Special Attack,45,"5.9% with PokéBall, full HP",35,lower than normal,175,Slow,Field,50,50,20,"4,884–5,140 steps",75,260,354,90,166,306,50,94,218,110,202,350,80,148,284,95,175,317,Houndoom,https://img.pokemondb.net/artwork/houndoom.jpg,
229,230,Water Dragon,Dragon,1.8,5.11,152.0,335.1,1. Swift Swim2. SniperDamp (hidden ability),188 (Gold/Silver/Crystal)186 (Ruby/Sapphire/Emerald)192 (HeartGold/SoulSilver)041 (X/Y — Coastal Kalos)195 (Omega Ruby/Alpha Sapphire)200 (The Isle of Armor),"1 Attack, 1 Special Attack, 1 Special Defense",45,"5.9% with PokéBall, full HP",50,normal,243,Medium Fast,"Dragon, Water 1",50,50,20,"4,884–5,140 steps",75,260,354,95,175,317,95,175,317,95,175,317,95,175,317,85,157,295,Kingdra,https://img.pokemondb.net/artwork/kingdra.jpg,
230,231,Ground,Long Nose,0.5,1.08,33.5,73.9,1. PickupSand Veil (hidden ability),195 (Gold/Silver/Crystal)165 (Ruby/Sapphire/Emerald)200 (HeartGold/SoulSilver)172 (Omega Ruby/Alpha Sapphire),1 HP,120,"15.7% with PokéBall, full HP",50,normal,66,Medium Fast,Field,50,50,20,"4,884–5,140 steps",90,290,384,60,112,240,60,112,240,40,76,196,40,76,196,40,76,196,Phanpy,https://img.pokemondb.net/artwork/phanpy.jpg,
231,232,Ground,Armor,1.1,3.07,120.0,264.6,1. SturdySand Veil (hidden ability),196 (Gold/Silver/Crystal)166 (Ruby/Sapphire/Emerald)201 (HeartGold/SoulSilver)173 (Omega Ruby/Alpha Sapphire),"1 Attack, 1 Defense",60,"7.8% with PokéBall, full HP",50,normal,175,Medium Fast,Field,50,50,20,"4,884–5,140 steps",90,290,384,120,220,372,120,220,372,60,112,240,60,112,240,50,94,218,Donphan,https://img.pokemondb.net/artwork/donphan.jpg,
232,233,Normal,Virtual,0.6,2.00,32.5,71.7,1. Trace2. DownloadAnalytic (hidden ability),216 (Gold/Silver/Crystal)193 (Platinum)221 (HeartGold/SoulSilver)218 (Sun/Moon — Alola dex)282 (U.Sun/U.Moon — Alola dex)134 (Legends: Arceus)209 (The Isle of Armor),2 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,180,Medium Fast,Mineral,Genderless,,20,"4,884–5,140 steps",85,280,374,80,148,284,90,166,306,105,193,339,95,175,317,60,112,240,Porygon2,https://img.pokemondb.net/artwork/porygon2.jpg,
233,234,Normal,Big Horn,1.4,4.07,71.2,157.0,1. Intimidate2. FriskSap Sipper (hidden ability),129 (Gold/Silver/Crystal)131 (HeartGold/SoulSilver)049 (Legends: Arceus),1 Attack,45,"5.9% with PokéBall, full HP",50,normal,163,Slow,Field,50,50,20,"4,884–5,140 steps",73,256,350,95,175,317,62,116,245,85,157,295,65,121,251,85,157,295,Stantler,https://img.pokemondb.net/artwork/stantler.jpg,
234,235,Normal,Painter,1.2,3.11,58.0,127.9,1. Own Tempo2. TechnicianMoody (hidden ability),157 (Gold/Silver/Crystal)159 (HeartGold/SoulSilver)124 (X/Y — Central Kalos)058 (Sun/Moon — Alola dex)070 (U.Sun/U.Moon — Alola dex),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,88,Fast,Field,50,50,20,"4,884–5,140 steps",55,220,314,20,40,152,35,67,185,20,40,152,45,85,207,75,139,273,Smeargle,https://img.pokemondb.net/artwork/smeargle.jpg,
235,236,Fighting,Scuffle,0.7,2.04,21.0,46.3,1. Guts2. SteadfastVital Spirit (hidden ability),143 (Gold/Silver/Crystal)145 (HeartGold/SoulSilver)107 (Sword/Shield),1 Attack,75,"9.8% with PokéBall, full HP",50,normal,42,Medium Fast,Undiscovered,100,0,25,"6,169–6,425 steps",35,180,274,35,67,185,35,67,185,35,67,185,35,67,185,35,67,185,Tyrogue,https://img.pokemondb.net/artwork/tyrogue.jpg,
236,237,Fighting,Handstand,1.4,4.07,48.0,105.8,1. Intimidate2. TechnicianSteadfast (hidden ability),146 (Gold/Silver/Crystal)148 (HeartGold/SoulSilver)110 (Sword/Shield),2 Special Defense,45,"5.9% with PokéBall, full HP",50,normal,159,Medium Fast,Human-Like,100,0,25,"6,169–6,425 steps",50,210,304,95,175,317,95,175,317,35,67,185,110,202,350,70,130,262,Hitmontop,https://img.pokemondb.net/artwork/hitmontop.jpg,
237,238,Ice Psychic,Kiss,0.4,1.04,6.0,13.2,1. Oblivious2. ForewarnHydration (hidden ability),152 (Gold/Silver/Crystal)154 (HeartGold/SoulSilver)083 (X/Y — Mountain Kalos)109 (U.Sun/U.Moon — Alola dex)013 (The Crown Tundra),1 Special Attack,45,"5.9% with PokéBall, full HP",50,normal,61,Medium Fast,Undiscovered,0,100,25,"6,169–6,425 steps",45,200,294,30,58,174,15,31,141,85,157,295,65,121,251,65,121,251,Smoochum,https://img.pokemondb.net/artwork/smoochum.jpg,
238,239,Electric,Electric,0.6,2.00,23.5,51.8,1. StaticVital Spirit (hidden ability),154 (Gold/Silver/Crystal)197 (Platinum)156 (HeartGold/SoulSilver)056 (Black 2/White 2)226 (Sun/Moon — Alola dex)295 (U.Sun/U.Moon — Alola dex)182 (Legends: Arceus)015 (The Crown Tundra),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,72,Medium Fast,Undiscovered,75,25,25,"6,169–6,425 steps",45,200,294,63,117,247,37,71,190,65,121,251,55,103,229,95,175,317,Elekid,https://img.pokemondb.net/artwork/elekid.jpg,
239,240,Fire,Live Coal,0.7,2.04,21.4,47.2,1. Flame BodyVital Spirit (hidden ability),150 (Gold/Silver/Crystal)200 (Platinum)152 (HeartGold/SoulSilver)053 (Black 2/White 2)166 (Sun/Moon — Alola dex)200 (U.Sun/U.Moon — Alola dex)174 (Legends: Arceus)018 (The Crown Tundra),1 Speed,45,"5.9% with PokéBall, full HP",50,normal,73,Medium Fast,Undiscovered,75,25,25,"6,169–6,425 steps",45,200,294,75,139,273,37,71,190,70,130,262,55,103,229,83,153,291,Magby,https://img.pokemondb.net/artwork/magby.jpg,
240,241,Normal,Milk Cow,1.2,3.11,75.5,166.4,1. Thick Fat2. ScrappySap Sipper (hidden ability),149 (Gold/Silver/Crystal)151 (HeartGold/SoulSilver)126 (X/Y — Coastal Kalos)138 (Sun/Moon — Alola dex)171 (U.Sun/U.Moon — Alola dex)117 (The Isle of Armor),2 Defense,45,"5.9% with PokéBall, full HP",50,normal,172,Slow,Field,0,100,20,"4,884–5,140 steps",95,300,394,80,148,284,105,193,339,40,76,196,70,130,262,100,184,328,Miltank,https://img.pokemondb.net/artwork/miltank.jpg,
241,242,Normal,Happiness,1.5,4.11,46.8,103.2,1. Natural Cure2. Serene GraceHealer (hidden ability),218 (Gold/Silver/Crystal)098 (Diamond/Pearl)098 (Platinum)223 (HeartGold/SoulSilver)034 (Sun/Moon — Alola dex)041 (U.Sun/U.Moon — Alola dex)098 (Brilliant Diamond/Shining Pearl)088 (Legends: Arceus)008 (The Isle of Armor),3 HP,30,"3.9% with PokéBall, full HP",140,higher than normal,608,Fast,Fairy,0,100,40,"10,024–10,280 steps",255,620,714,10,22,130,10,22,130,75,139,273,135,247,405,55,103,229,Blissey,https://img.pokemondb.net/artwork/blissey.jpg,
242,243,Electric,Thunder,1.9,6.03,178.0,392.4,1. PressureInner Focus (hidden ability),238 (Gold/Silver/Crystal)243 (HeartGold/SoulSilver),"1 Special Attack, 2 Speed",3,"0.4% with PokéBall, full HP",35,lower than normal,261,Slow,Undiscovered,Genderless,,80,"20,304–20,560 steps",90,290,384,85,157,295,75,139,273,115,211,361,100,184,328,115,211,361,Raikou,https://img.pokemondb.net/artwork/raikou.jpg,
